method,time_days,skill_mean,skill_std
Traditional-NPZ,5.979166666666666,0.941935793812464,0.04336709537955348
Traditional-NPZ,5.986111111111111,0.9420622245734465,0.04327452827596932
Traditional-NPZ,5.993055555555555,0.9421882834093308,0.04318222440981932
Traditional-NPZ,6.0,0.9423139715374785,0.043090189234166576
Traditional-NPZ,6.006944444444444,0.9424392837112873,0.04299841182762805
Traditional-NPZ,6.013888888888888,0.9425642267162855,0.04290689977335137
Traditional-NPZ,6.020833333333333,0.9426888017858532,0.042815653010187166
Traditional-NPZ,6.027777777777778,0.9428130095006553,0.04272467057766502
Traditional-NPZ,6.034722222222222,0.9429368545584007,0.042633951254633394
Traditional-NPZ,6.041666666666666,0.9430603359002746,0.04254349827446959
Traditional-NPZ,6.048611111111111,0.943183458004867,0.04245331607296505
Traditional-NPZ,6.055555555555555,0.9433062220378514,0.04236340166175193
Traditional-NPZ,6.0625,0.9434286237203633,0.04227375301829785
Traditional-NPZ,6.069444444444444,0.9435506591757534,0.04218436359243181
Traditional-NPZ,6.076388888888888,0.9436723302526114,0.04209523408710593
Traditional-NPZ,6.083333333333333,0.9437936412385595,0.042006366887936485
Traditional-NPZ,6.090277777777778,0.9439145880308476,0.04191776142838876
Traditional-NPZ,6.097222222222222,0.944035162241083,0.041829407355103654
Traditional-NPZ,6.104166666666666,0.9441553629411839,0.041741303523209164
Traditional-NPZ,6.111111111111111,0.9442752004982347,0.041653456657032135
Traditional-NPZ,6.118055555555555,0.9443946770696197,0.041565871354648246
Traditional-NPZ,6.125,0.9445138033559428,0.041478550139415094
Traditional-NPZ,6.131944444444444,0.9446325711930222,0.041391485459141404
Traditional-NPZ,6.138888888888888,0.9447509796979091,0.0413046749735826
Traditional-NPZ,6.145833333333333,0.9448690369986149,0.04121812404051993
Traditional-NPZ,6.152777777777778,0.944986747399009,0.04113183814216462
Traditional-NPZ,6.159722222222222,0.9451041048987209,0.04104581035819153
Traditional-NPZ,6.166666666666666,0.94522110898138,0.04096003909628965
Traditional-NPZ,6.173611111111111,0.9453377504047606,0.04087451693371909
Traditional-NPZ,6.180555555555555,0.9454540442699774,0.040789254023764834
Traditional-NPZ,6.1875,0.9455699929290798,0.04070425377758601
Traditional-NPZ,6.194444444444444,0.9456855979309826,0.0406195136599005
Traditional-NPZ,6.201388888888888,0.9458008586341171,0.04053503268789884
Traditional-NPZ,6.208333333333333,0.9459157785811932,0.040450811812670504
Traditional-NPZ,6.215277777777778,0.946030347345006,0.04036684190287709
Traditional-NPZ,6.222222222222221,0.9461445746978544,0.040283133925287644
Traditional-NPZ,6.229166666666666,0.9462584578207578,0.04019968260999186
Traditional-NPZ,6.236111111111111,0.9463720021572132,0.040116491817474245
Traditional-NPZ,6.243055555555555,0.9464851956840217,0.040033552197212975
Traditional-NPZ,6.25,0.9465980406813596,0.03995086698121221
Traditional-NPZ,6.256944444444444,0.9467105381351371,0.0398684366135675
Traditional-NPZ,6.263888888888888,0.9468226945112902,0.039786261480160186
Traditional-NPZ,6.270833333333333,0.946934506245486,0.03970433778130436
Traditional-NPZ,6.277777777777778,0.947045980107955,0.03962267106262944
Traditional-NPZ,6.284722222222221,0.9471571106515041,0.0395412562365099
Traditional-NPZ,6.291666666666666,0.947267907028608,0.03946010016141942
Traditional-NPZ,6.298611111111111,0.947378360270302,0.03937919211285423
Traditional-NPZ,6.305555555555555,0.9474884775320319,0.03929853814662864
Traditional-NPZ,6.3125,0.9475982637729218,0.03921814009163452
Traditional-NPZ,6.319444444444444,0.9477077105996656,0.039137990284554995
Traditional-NPZ,6.326388888888888,0.9478168114528563,0.03905808508833601
Traditional-NPZ,6.333333333333333,0.9479255769215135,0.03897843360690325
Traditional-NPZ,6.340277777777778,0.9480340013037967,0.03889902961755349
Traditional-NPZ,6.347222222222221,0.9481420951898153,0.03881987944566722
Traditional-NPZ,6.354166666666666,0.9482498477833562,0.03874097579709701
Traditional-NPZ,6.361111111111111,0.9483572697249422,0.03866232212530446
Traditional-NPZ,6.368055555555555,0.9484643566785561,0.03858391324491631
Traditional-NPZ,6.375,0.9485711064328604,0.038505746978929514
Traditional-NPZ,6.381944444444444,0.9486775311331774,0.038427834516677827
Traditional-NPZ,6.388888888888888,0.9487836271856073,0.03835017131600338
Traditional-NPZ,6.395833333333333,0.9488893923350255,0.03827275713543629
Traditional-NPZ,6.402777777777778,0.9489948225257874,0.03819558512278529
Traditional-NPZ,6.409722222222221,0.9490999083998751,0.03811864638841091
Traditional-NPZ,6.416666666666666,0.9492046702297919,0.038041956875966246
Traditional-NPZ,6.423611111111111,0.9493091134673933,0.037965521657675534
Traditional-NPZ,6.430555555555555,0.9494132208166641,0.037889324499567174
Traditional-NPZ,6.4375,0.949516989936432,0.03781336562642848
Traditional-NPZ,6.444444444444444,0.9496204408239091,0.03773765847913618
Traditional-NPZ,6.451388888888888,0.9497235570899866,0.037662190106331365
Traditional-NPZ,6.458333333333333,0.9498263386369068,0.03758695471124306
Traditional-NPZ,6.465277777777778,0.9499287975632096,0.037511962665305265
Traditional-NPZ,6.472222222222221,0.9500309339429513,0.037437214269136314
Traditional-NPZ,6.479166666666666,0.9501327536203522,0.037362712110191924
Traditional-NPZ,6.486111111111111,0.9502342399864894,0.037288439436196925
Traditional-NPZ,6.493055555555555,0.950335394324491,0.037214401943961216
Traditional-NPZ,6.5,0.950436230742899,0.03714060598529005
Traditional-NPZ,6.506944444444444,0.9505367453813129,0.03706705037508373
Traditional-NPZ,6.513888888888888,0.9506369410252844,0.036993736261683716
Traditional-NPZ,6.520833333333333,0.9507368074979988,0.03692065260908834
Traditional-NPZ,6.527777777777778,0.9508363570564963,0.03684780949645314
Traditional-NPZ,6.534722222222221,0.9509355930444273,0.036775208420203064
Traditional-NPZ,6.541666666666666,0.9510345121605073,0.03670284640750702
Traditional-NPZ,6.548611111111111,0.9511331150691632,0.036630721765227484
Traditional-NPZ,6.555555555555555,0.9512313920417865,0.03655882439029975
Traditional-NPZ,6.5625,0.9513293540267115,0.0364871643240682
Traditional-NPZ,6.569444444444444,0.9514270086288589,0.03641574661473283
Traditional-NPZ,6.576388888888888,0.9515243495707716,0.03634456408856191
Traditional-NPZ,6.583333333333333,0.9516213709603566,0.036273612786685804
Traditional-NPZ,6.590277777777778,0.9517180773830647,0.03620289399751488
Traditional-NPZ,6.597222222222221,0.9518144671159819,0.03613240457223979
Traditional-NPZ,6.604166666666666,0.9519105451956411,0.036062149469130035
Traditional-NPZ,6.611111111111111,0.9520063071255683,0.035992120815053374
Traditional-NPZ,6.618055555555555,0.9521017514323687,0.035922316299079896
Traditional-NPZ,6.625,0.952196894380221,0.03585275131439008
Traditional-NPZ,6.631944444444444,0.9522917243615474,0.035783413644338215
Traditional-NPZ,6.638888888888888,0.9523862334698483,0.03571429460497376
Traditional-NPZ,6.645833333333333,0.9524804346483577,0.035645404655400136
Traditional-NPZ,6.652777777777778,0.9525743266436464,0.035576742306815935
Traditional-NPZ,6.659722222222221,0.95266790867989,0.03550830646341335
Traditional-NPZ,6.666666666666666,0.9527611829085078,0.03544009712485735
Traditional-NPZ,6.673611111111111,0.9528541491661919,0.035372112290327405
Traditional-NPZ,6.680555555555555,0.9529468091640667,0.035304354508146785
Traditional-NPZ,6.6875,0.9530391635641398,0.03523682190754481
Traditional-NPZ,6.694444444444444,0.9531312078693294,0.03516951182841535
Traditional-NPZ,6.701388888888888,0.9532229393090486,0.03510242134839359
Traditional-NPZ,6.708333333333333,0.9533143746595696,0.03503556561371388
Traditional-NPZ,6.715277777777778,0.9534055148947576,0.03496894462960325
Traditional-NPZ,6.722222222222221,0.9534963607287626,0.034902555741278284
Traditional-NPZ,6.729166666666666,0.9535868984112755,0.03483638474373794
Traditional-NPZ,6.736111111111111,0.9536771327334541,0.03477043385770988
Traditional-NPZ,6.743055555555555,0.9537670591096559,0.034704698141193445
Traditional-NPZ,6.75,0.9538566795202316,0.03463918101066372
Traditional-NPZ,6.756944444444444,0.9539459873460631,0.03457387692660066
Traditional-NPZ,6.763888888888888,0.9540349923501306,0.03450879318694384
Traditional-NPZ,6.770833333333333,0.95412369131778,0.03444392261774135
Traditional-NPZ,6.777777777777778,0.9542120872086889,0.03437926636891163
Traditional-NPZ,6.784722222222221,0.9543001787898855,0.0343148221667337
Traditional-NPZ,6.791666666666666,0.9543879810729329,0.03425060504663031
Traditional-NPZ,6.798611111111111,0.9544754879054951,0.03418660705409404
Traditional-NPZ,6.805555555555555,0.9545626995407944,0.03412282822619463
Traditional-NPZ,6.8125,0.9546496179364407,0.03405926919857481
Traditional-NPZ,6.819444444444444,0.9547362404374936,0.03399592506934632
Traditional-NPZ,6.826388888888888,0.9548225653778828,0.033932795691734824
Traditional-NPZ,6.833333333333333,0.9549085905770868,0.03386988038241914
Traditional-NPZ,6.840277777777778,0.9549943050998907,0.03380716539055874
Traditional-NPZ,6.847222222222221,0.9550797159762642,0.03374465578255179
Traditional-NPZ,6.854166666666666,0.9551648286191238,0.03368235520267442
Traditional-NPZ,6.861111111111111,0.9552496375147708,0.03362025724977364
Traditional-NPZ,6.868055555555555,0.9553341481553879,0.03355836529431217
Traditional-NPZ,6.875,0.9554183544986418,0.033496673972134856
Traditional-NPZ,6.881944444444444,0.9555022654406481,0.033435189635846206
Traditional-NPZ,6.888888888888888,0.9555858824270359,0.03337391249411701
Traditional-NPZ,6.895833333333333,0.9556692033355663,0.03331283903287386
Traditional-NPZ,6.902777777777778,0.9557522250319311,0.03325196617322282
Traditional-NPZ,6.909722222222221,0.955834950984275,0.033191297319988655
Traditional-NPZ,6.916666666666666,0.9559173859992185,0.033130833332395866
Traditional-NPZ,6.923611111111111,0.9559995352025182,0.03307058105416016
Traditional-NPZ,6.930555555555555,0.9560813900861892,0.03301053009104525
Traditional-NPZ,6.9375,0.9561629501398639,0.032950679157921645
Traditional-NPZ,6.944444444444444,0.9562442184857779,0.03289103013283503
Traditional-NPZ,6.951388888888888,0.956325185965694,0.032831572062731074
Traditional-NPZ,6.958333333333333,0.9564058588906801,0.03277231141152435
Traditional-NPZ,6.965277777777778,0.9564862313623603,0.03271323985901541
Traditional-NPZ,6.972222222222221,0.9565663223109336,0.03265437559791334
Traditional-NPZ,6.979166666666666,0.9566461179291372,0.032595704481259764
Traditional-NPZ,6.986111111111111,0.9567256136171636,0.03253722298927045
Traditional-NPZ,6.993055555555555,0.9568048139666082,0.03247893337112419
Traditional-NPZ,7.0,0.9568837206016101,0.03242083437039916
Traditional-NPZ,-1.0,0.8892201351024657,0.05941451502408732
PI-NPZ,0.0,0.8637911640788429,0.07488919572941481
PI-NPZ,0.006944444444444444,0.8638020756332339,0.07487531653768571
PI-NPZ,0.013888888888888888,0.8638127138343498,0.07486148829049281
PI-NPZ,0.020833333333333332,0.8638230953810673,0.07484769996377483
PI-NPZ,0.027777777777777776,0.8638332622689442,0.07483400597347144
PI-NPZ,0.034722222222222224,0.8638431303716453,0.07482040814423752
