method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.0288934707641602
PI-NPZ,baseline,Computational Time (s),1.1858222484588623
PI-NPZ,baseline,Computational Time (s),1.5495851039886475
PI-NPZ,baseline,Computational Time (s),1.3133180141448975
PI-NPZ,baseline,Computational Time (s),1.5744149684906006
PI-NPZ,baseline,Computational Time (s),1.1429595947265625
PI-NPZ,baseline,Computational Time (s),1.425593376159668
PI-NPZ,baseline,Computational Time (s),1.0837934017181396
PI-NPZ,baseline,Computational Time (s),1.2251667976379395
PI-NPZ,baseline,Computational Time (s),1.3946714401245117
PI-NPZ,baseline,Computational Time (s),1.2461113929748535
PI-NPZ,baseline,Computational Time (s),1.1952674388885498
PI-NPZ,baseline,Computational Time (s),1.3492510318756104
PI-NPZ,baseline,Computational Time (s),1.0980076789855957
PI-NPZ,baseline,Computational Time (s),1.25958251953125
PI-NPZ,baseline,Computational Time (s),1.0932378768920898
PI-NPZ,baseline,Computational Time (s),1.2635934352874756
PI-NPZ,baseline,Computational Time (s),1.0103263854980469
PI-NPZ,baseline,Computational Time (s),1.0824611186981201
PI-NPZ,baseline,Computational Time (s),0.9131131172180176
PI-NPZ,baseline,Computational Time (s),1.2773182392120361
PI-NPZ,baseline,Computational Time (s),1.5083184242248535
PI-NPZ,baseline,Computational Time (s),1.3455400466918945
PI-NPZ,baseline,Computational Time (s),0.9878737926483154
PI-NPZ,baseline,Computational Time (s),1.1693954467773438
PI-NPZ,baseline,Computational Time (s),1.1161010265350342
PI-NPZ,baseline,Computational Time (s),1.1073071956634521
PI-NPZ,baseline,Computational Time (s),1.057957649230957
PI-NPZ,baseline,Computational Time (s),1.1608633995056152
PI-NPZ,baseline,Computational Time (s),0.9940154552459717
PI-NPZ,baseline,Computational Time (s),0.9232003688812256
PI-NPZ,baseline,Computational Time (s),1.011491298675537
PI-NPZ,baseline,Computational Time (s),1.0881059169769287
PI-NPZ,baseline,Computational Time (s),1.4061903953552246
PI-NPZ,baseline,Computational Time (s),0.9442791938781738
PI-NPZ,baseline,Computational Time (s),1.2588732242584229
PI-NPZ,baseline,Computational Time (s),1.2956442832946777
PI-NPZ,baseline,Computational Time (s),1.3075404167175293
PI-NPZ,baseline,Computational Time (s),1.012709140777588
PI-NPZ,baseline,Computational Time (s),0.9072227478027344
PI-NPZ,baseline,Computational Time (s),0.983922004699707
PI-NPZ,baseline,Computational Time (s),1.173330307006836
PI-NPZ,baseline,Computational Time (s),1.4328041076660156
PI-NPZ,baseline,Computational Time (s),1.083139181137085
PI-NPZ,baseline,Computational Time (s),1.101473331451416
PI-NPZ,baseline,Computational Time (s),1.1657524108886719
PI-NPZ,baseline,Computational Time (s),1.5167677402496338
PI-NPZ,baseline,Computational Time (s),1.5922467708587646
PI-NPZ,baseline,Computational Time (s),1.0409255027770996
PI-NPZ,baseline,Computational Time (s),1.079427719116211
PI-NPZ,baseline,Computational Time (s),1.2097129821777344
PI-NPZ,baseline,Computational Time (s),1.2887253761291504
PI-NPZ,baseline,Computational Time (s),1.0406217575073242
PI-NPZ,baseline,Computational Time (s),1.196930170059204
PI-NPZ,baseline,Computational Time (s),1.250305414199829
PI-NPZ,baseline,Computational Time (s),1.4186151027679443
PI-NPZ,baseline,Computational Time (s),1.2547547817230225
PI-NPZ,baseline,Computational Time (s),1.0335972309112549
PI-NPZ,baseline,Computational Time (s),1.221210241317749
PI-NPZ,baseline,Computational Time (s),1.2408311367034912
PI-NPZ,baseline,Computational Time (s),1.1403272151947021
PI-NPZ,baseline,Computational Time (s),1.0602781772613525
PI-NPZ,baseline,Computational Time (s),1.1703715324401855
PI-NPZ,baseline,Computational Time (s),1.074847936630249
