method,dataset,metric,value
NN-NPZ,baseline,Computational Time (s),1.0221002101898193
NN-NPZ,baseline,Computational Time (s),0.9884459972381592
NN-NPZ,baseline,Computational Time (s),1.1031551361083984
NN-NPZ,baseline,Computational Time (s),1.266228437423706
NN-NPZ,baseline,Computational Time (s),1.349989891052246
NN-NPZ,baseline,Computational Time (s),0.997502326965332
NN-NPZ,baseline,Computational Time (s),0.9866759777069092
NN-NPZ,baseline,Computational Time (s),1.103869915008545
NN-NPZ,baseline,Computational Time (s),1.1723685264587402
NN-NPZ,baseline,Computational Time (s),1.002410888671875
NN-NPZ,baseline,Computational Time (s),1.0242033004760742
NN-NPZ,baseline,Computational Time (s),0.9823105335235596
NN-NPZ,baseline,Computational Time (s),1.206549882888794
NN-NPZ,baseline,Computational Time (s),1.1849172115325928
NN-NPZ,baseline,Computational Time (s),0.9354321956634521
NN-NPZ,baseline,Computational Time (s),1.1066887378692627
NN-NPZ,baseline,Computational Time (s),0.9740190505981445
NN-NPZ,baseline,Computational Time (s),1.0961570739746094
NN-NPZ,baseline,Computational Time (s),0.9719893932342529
NN-NPZ,baseline,Computational Time (s),0.9630172252655029
NN-NPZ,baseline,Computational Time (s),1.0133116245269775
NN-NPZ,baseline,Computational Time (s),1.06282639503479
NN-NPZ,baseline,Computational Time (s),1.3176405429840088
NN-NPZ,baseline,Computational Time (s),1.0510976314544678
NN-NPZ,baseline,Computational Time (s),0.9573659896850586
NN-NPZ,baseline,Computational Time (s),1.2607579231262207
NN-NPZ,baseline,Computational Time (s),1.160156011581421
NN-NPZ,baseline,Computational Time (s),1.335679531097412
NN-NPZ,baseline,Computational Time (s),1.280296802520752
NN-NPZ,baseline,Computational Time (s),1.0394537448883057
NN-NPZ,baseline,Computational Time (s),1.0840976238250732
NN-NPZ,baseline,Computational Time (s),1.0385971069335938
NN-NPZ,baseline,Computational Time (s),0.940187931060791
NN-NPZ,baseline,Computational Time (s),0.9124875068664551
NN-NPZ,baseline,Computational Time (s),1.325028657913208
NN-NPZ,baseline,Computational Time (s),1.0725069046020508
NN-NPZ,baseline,Computational Time (s),1.1429953575134277
NN-NPZ,baseline,Computational Time (s),1.0005178451538086
NN-NPZ,baseline,Computational Time (s),1.0801982879638672
NN-NPZ,baseline,Computational Time (s),0.9701406955718994
NN-NPZ,baseline,Computational Time (s),1.0762977600097656
NN-NPZ,baseline,Computational Time (s),0.9502518177032471
NN-NPZ,baseline,Computational Time (s),1.191188097000122
NN-NPZ,baseline,Computational Time (s),0.9569137096405029
NN-NPZ,baseline,Computational Time (s),1.4044368267059326
NN-NPZ,baseline,Computational Time (s),1.136733055114746
NN-NPZ,baseline,Computational Time (s),1.1427829265594482
NN-NPZ,baseline,Computational Time (s),1.0976088047027588
NN-NPZ,baseline,Computational Time (s),1.1319959163665771
NN-NPZ,baseline,Computational Time (s),1.0765211582183838
NN-NPZ,baseline,Computational Time (s),1.3953239917755127
NN-NPZ,baseline,Computational Time (s),0.9729764461517334
NN-NPZ,baseline,Computational Time (s),0.9905543327331543
NN-NPZ,baseline,Computational Time (s),0.9872488975524902
NN-NPZ,baseline,Computational Time (s),1.3162000179290771
NN-NPZ,baseline,Computational Time (s),0.9064986705780029
NN-NPZ,baseline,Computational Time (s),1.168015480041504
NN-NPZ,baseline,Computational Time (s),1.0495421886444092
NN-NPZ,baseline,Computational Time (s),1.3737008571624756
NN-NPZ,baseline,Computational Time (s),1.1727454662322998
NN-NPZ,baseline,Computational Time (s),1.0601468086242676
NN-NPZ,baseline,Computational Time (s),1.1369318962097168
NN-NPZ,baseline,Computational Time (s),1.2510802745819092
NN-NPZ,baseline,Computational Time (s),1.2259981632232666
NN-NPZ,baseline,Computational Time (s),1.1681218147277832
NN-NPZ,baseline,Computational Time (s),1.1273002624511719
NN-NPZ,baseline,Computational Time (s),1.0655031204223633
NN-NPZ,baseline,Computational Time (s),1.0144391059875488
NN-NPZ,baseline,Computational Time (s),0.9568521976470947
NN-NPZ,baseline,Computational Time (s),1.181196928024292
NN-NPZ,baseline,Computational Time (s),1.176919937133789
NN-NPZ,baseline,Computational Time (s),0.9671802520751953
NN-NPZ,baseline,Computational Time (s),1.0979251861572266
NN-NPZ,baseline,Computational Time (s),0.8532490730285645
NN-NPZ,baseline,Computational Time (s),0.9972996711730957
NN-NPZ,baseline,Computational Time (s),0.9764161109924316
NN-NPZ,baseline,Computational Time (s),0.961082935333252
NN-NPZ,baseline,Computational Time (s),1.0480973720550537
NN-NPZ,baseline,Computational Time (s),1.2342000007629395
NN-NPZ,baseline,Computational Time (s),1.0253682136535645
NN-NPZ,baseline,Computational Time (s),1.0813932418823242
NN-NPZ,baseline,Computational Time (s),0.9525845050811768
NN-NPZ,baseline,Computational Time (s),0.9820537567138672
NN-NPZ,baseline,Computational Time (s),0.8675909042358398
NN-NPZ,baseline,Computational Time (s),1.1206626892089844
NN-NPZ,baseline,Computational Time (s),0.977576732635498
NN-NPZ,baseline,Computational Time (s),1.1884806156158447
NN-NPZ,baseline,Computational Time (s),0.9833176136016846
NN-NPZ,baseline,Computational Time (s),1.0071897506713867
NN-NPZ,baseline,Computational Time (s),1.0659806728363037
NN-NPZ,baseline,Computational Time (s),0.9477336406707764
NN-NPZ,baseline,Computational Time (s),1.0024359226226807
NN-NPZ,baseline,Computational Time (s),0.9956943988800049
NN-NPZ,baseline,Computational Time (s),1.1066579818725586
NN-NPZ,baseline,Computational Time (s),0.957618236541748
NN-NPZ,baseline,Computational Time (s),1.0472159385681152
NN-NPZ,baseline,Computational Time (s),1.156130313873291
NN-NPZ,baseline,Computational Time (s),0.9901251792907715
NN-NPZ,baseline,Computational Time (s),0.9004380702972412
NN-NPZ,baseline,Computational Time (s),1.0945038795471191
NN-NPZ,baseline,Computational Time (s),1.3512341976165771
NN-NPZ,baseline,Computational Time (s),1.0043091773986816
NN-NPZ,baseline,Computational Time (s),1.035222053527832
NN-NPZ,baseline,Computational Time (s),1.2387173175811768
NN-NPZ,baseline,Computational Time (s),0.9677977561950684
NN-NPZ,baseline,Computational Time (s),1.3669047355651855
NN-NPZ,baseline,Computational Time (s),1.0871145725250244
NN-NPZ,baseline,Computational Time (s),1.2817473411560059
NN-NPZ,baseline,Computational Time (s),0.9909830093383789
NN-NPZ,baseline,Computational Time (s),1.0208690166473389
NN-NPZ,baseline,Computational Time (s),0.9711759090423584
NN-NPZ,baseline,Computational Time (s),1.0271990299224854
NN-NPZ,baseline,Computational Time (s),1.0351386070251465
NN-NPZ,baseline,Computational Time (s),1.0052073001861572
NN-NPZ,baseline,Computational Time (s),1.0178823471069336
NN-NPZ,baseline,Computational Time (s),1.0858500003814697
NN-NPZ,baseline,Computational Time (s),1.1860344409942627
NN-NPZ,baseline,Computational Time (s),1.0335330963134766
NN-NPZ,baseline,Computational Time (s),1.2644150257110596
NN-NPZ,baseline,Computational Time (s),0.9337618350982666
NN-NPZ,baseline,Computational Time (s),1.140376091003418
NN-NPZ,baseline,Computational Time (s),1.0196304321289062
NN-NPZ,baseline,Computational Time (s),0.9226529598236084
NN-NPZ,baseline,Computational Time (s),1.0172362327575684
NN-NPZ,baseline,Computational Time (s),0.9482030868530273
NN-NPZ,baseline,Computational Time (s),1.0332684516906738
NN-NPZ,baseline,Computational Time (s),0.9873371124267578
NN-NPZ,baseline,Computational Time (s),1.2544333934783936
NN-NPZ,baseline,Computational Time (s),1.0254707336425781
NN-NPZ,baseline,Computational Time (s),1.1391401290893555
NN-NPZ,baseline,Computational Time (s),1.2429852485656738
NN-NPZ,baseline,Computational Time (s),0.989016056060791
NN-NPZ,baseline,Computational Time (s),1.3972549438476562
NN-NPZ,baseline,Computational Time (s),1.0170092582702637
NN-NPZ,baseline,Computational Time (s),1.1076750755310059
NN-NPZ,baseline,Computational Time (s),0.9355719089508057
NN-NPZ,baseline,Computational Time (s),0.9666283130645752
NN-NPZ,baseline,Computational Time (s),1.006155014038086
NN-NPZ,baseline,Computational Time (s),0.981956958770752
NN-NPZ,baseline,Computational Time (s),1.139918327331543
NN-NPZ,baseline,Computational Time (s),1.2184014320373535
NN-NPZ,baseline,Computational Time (s),1.329871654510498
NN-NPZ,baseline,Computational Time (s),1.08884859085083
NN-NPZ,baseline,Computational Time (s),0.9996106624603271
NN-NPZ,baseline,Computational Time (s),1.0115835666656494
NN-NPZ,baseline,Computational Time (s),0.8674278259277344
NN-NPZ,baseline,Computational Time (s),1.004098892211914
NN-NPZ,baseline,Computational Time (s),1.220531940460205
NN-NPZ,baseline,Computational Time (s),1.0324952602386475
NN-NPZ,baseline,Computational Time (s),1.134737491607666
NN-NPZ,baseline,Computational Time (s),0.9382894039154053
NN-NPZ,baseline,Computational Time (s),1.1716728210449219
NN-NPZ,baseline,Computational Time (s),0.961634635925293
NN-NPZ,baseline,Computational Time (s),0.9395852088928223
NN-NPZ,baseline,Computational Time (s),0.9468555450439453
NN-NPZ,baseline,Computational Time (s),1.2285356521606445
NN-NPZ,baseline,Computational Time (s),1.4005897045135498
NN-NPZ,baseline,Computational Time (s),1.0482268333435059
NN-NPZ,baseline,Computational Time (s),1.0421137809753418
NN-NPZ,baseline,Computational Time (s),1.1582632064819336
NN-NPZ,baseline,Computational Time (s),0.9832947254180908
NN-NPZ,baseline,Computational Time (s),1.6651015281677246
NN-NPZ,baseline,Computational Time (s),1.0247523784637451
NN-NPZ,baseline,Computational Time (s),0.9449372291564941
NN-NPZ,baseline,Computational Time (s),1.0032413005828857
NN-NPZ,baseline,Computational Time (s),0.8998923301696777
NN-NPZ,baseline,Computational Time (s),1.1979172229766846
NN-NPZ,baseline,Computational Time (s),1.0515410900115967
NN-NPZ,baseline,Computational Time (s),1.1235158443450928
NN-NPZ,baseline,Computational Time (s),1.0282979011535645
NN-NPZ,baseline,Computational Time (s),1.074709415435791
NN-NPZ,baseline,Computational Time (s),1.3144001960754395
NN-NPZ,baseline,Computational Time (s),1.1592917442321777
NN-NPZ,baseline,Computational Time (s),1.1887025833129883
NN-NPZ,baseline,Computational Time (s),1.1128578186035156
NN-NPZ,baseline,Computational Time (s),1.2106349468231201
NN-NPZ,baseline,Computational Time (s),1.0245869159698486
NN-NPZ,baseline,Computational Time (s),1.0006330013275146
NN-NPZ,baseline,Computational Time (s),1.1178491115570068
NN-NPZ,baseline,Computational Time (s),1.1191909313201904
NN-NPZ,baseline,Computational Time (s),1.3205680847167969
NN-NPZ,baseline,Computational Time (s),1.1113650798797607
NN-NPZ,baseline,Computational Time (s),1.1138637065887451
NN-NPZ,baseline,Computational Time (s),1.1214494705200195
NN-NPZ,baseline,Computational Time (s),1.0132496356964111
NN-NPZ,baseline,Computational Time (s),1.0216217041015625
NN-NPZ,baseline,Computational Time (s),1.119309425354004
NN-NPZ,baseline,Computational Time (s),1.3061003684997559
NN-NPZ,baseline,Computational Time (s),1.0684583187103271
NN-NPZ,baseline,Computational Time (s),0.9915609359741211
NN-NPZ,baseline,Computational Time (s),1.1198301315307617
